field_id,crop,profit
F1,Wheat,261603377.35188967
F1,Maize,37599714.899810806
F1,Rice,1039075.5126050418
F1,Garlic,16578488.051470587
F1,Turmeric,188270000.0
F1,Groundnut,864620969.1666666
F1,Maize,1340694729.274596
F1,Onion,19229895.674011566
F1,Potato,199977357.69579738
F1,Rice,1039531247.4789914
F1,Soyabean,612145755.0824175
F1,Groundnut,67267007.5
F1,Maize,328366740.92535263
F1,Onion,32259601.43146582
F1,Potato,3547270.2030296656
F1,Wheat,389358738.4895301
F1,Maize,45001057.38046096
F1,Onion,23223012.982673567
F1,Potato,1984174.5200399747
F1,Rice,884125.6554621847
F1,Coconut,15185625.0
F1,Garlic,16632843.75
F1,Turmeric,215028125.0
F1,Groundnut,872040217.5
F1,Maize,1254155525.3190575
F1,Rice,1090637356.2436974
F1,Soyabean,520853199.38186806
F1,Groundnut,74129179.16666666
F1,Maize,434206497.8349674
F1,Wheat,415601580.92888147
F1,Maize,40525566.84038528
F1,Rice,291670.31932773103
F1,Banana,277413843.71870285
F1,Coconut,18546937.5
F1,Garlic,17140163.602941178
F1,Onion,119727041.16926077
F1,Potato,227066762.87936568
F1,Turmeric,252338750.0
F1,Groundnut,978922972.5
F1,Maize,1208718107.6109393
F1,Rice,959203418.5966386
F1,Soyabean,591576592.8571428
F1,Groundnut,86967264.16666666
F1,Maize,344444940.6905745
F1,Wheat,460077962.9881256
F1,Maize,46712932.51203991
F1,Banana,277174749.34615386
F1,Coconut,13462312.5
F1,Garlic,12085083.639705881
F1,Onion,34493265.275600836
F1,Potato,191096422.22346413
F1,Turmeric,480264375.0
F1,Groundnut,569269049.1666666
F1,Maize,732676961.9526144
F1,Rice,513613202.9411764
F1,Soyabean,372761470.7417582
F1,Maize,400892065.127279
F1,Wheat,315739156.3138406
F1,Maize,29230547.589869283
F1,Rice,1795595.4033613442
F1,Coconut,14690812.5
F1,Onion,51564838.941489875
F1,Potato,200994964.8853356
F1,Turmeric,347269375.0
F1,Groundnut,489999571.6666666
F1,Maize,732872764.6637428
F1,Rice,345210052.31932765
F1,Soyabean,445387875.6868132
F1,Groundnut,47288212.5
F1,Maize,300545972.85560715
F1,Wheat,241884753.05707353
F1,Maize,22506123.053405575
F1,Rice,3691452.478991596
F1,Banana,159761020.54977375
F1,Brinjal,68236754.62429595
F1,Coconut,15868125.0
F1,Garlic,11505289.522058824
F1,Grapes,323262656.25
F1,Mango,24222625.0
F1,Onion,60481766.82720347
F1,Papaya,539179.3181818181
F1,Potato,115691410.47956555
F1,Tomato,64649693.11016255
F1,Turmeric,166285625.0
F1,Groundnut,399689847.5
F1,Maize,586747998.5302718
F1,Rice,445262086.5462184
F1,Soyabean,282061656.3186813
F1,Groundnut,81902930.83333333
F1,Maize,280865003.2056244
F1,Wheat,203120235.13215014
F1,Maize,20078169.43541452
F1,Rice,3919319.915966386
F1,Banana,131492708.96455505
F1,Brinjal,23029124.301955324
F1,Coconut,42929250.0
F1,Garlic,6178431.06617647
F1,Grapes,525931687.5
F1,Mango,11823437.5
F1,Onion,38526269.43862239
F1,Potato,158593601.9908479
F1,Tomato,50886309.13031418
F1,Turmeric,125708750.0
F1,Groundnut,500140899.1666666
F1,Maize,1667886653.9331787
F1,Rice,1048051393.2414284
F1,Soyabean,618187556.5247252
F1,Groundnut,101046110.83333333
F1,Maize,444455371.17174065
F1,Wheat,375155236.34218585
F1,Maize,37085033.4877021
F1,Rice,5787832.899159663
F1,Banana,176138985.0693816
F1,Coconut,444691235.62500006
F1,Garlic,9204231.61764706
F1,Onion,136000877.74795875
F1,Potato,141396359.48677152
F1,Turmeric,215698125.0
F1,Groundnut,362315067.5
F1,Maize,1856500608.381493
F1,Onion,135225300.02430075
F1,Potato,32939849.0256154
F1,Rice,1326188483.1932771
F1,Soyabean,398062164.2170329
F1,Groundnut,107743691.66666666
F1,Maize,812743487.7145684
F1,Onion,16309291.560350902
